step,loss,ppl,layers_run,skip_pct,gate_reg,lr,elapsed_s
50,3.9525,52.07,20.1,16.25,,0.00019999,6.39
100,3.967188,52.84,19.62,18.25,,0.00019997,12.08
150,2.888125,17.96,20.08,16.34,,0.00019993,17.79
200,2.904844,18.26,19.78,17.58,,0.00019986,23.46
250,2.957187,19.24,19.38,19.25,,0.00019979,30.71
300,2.41,11.13,19.56,18.5,,0.00019969,36.35
350,2.463594,11.75,19.7,17.92,,0.00019959,42.0
400,2.260156,9.58,19.34,19.41,,0.00019945,47.61
450,1.98125,7.25,19.74,17.75,,0.00019932,55.01
500,1.967812,7.16,19.62,18.25,,0.00019915,60.75
550,1.985391,7.28,19.68,18.0,,0.00019898,66.39
600,1.907656,6.74,19.34,19.42,,0.00019877,71.99
650,1.781172,5.94,19.82,17.42,,0.00019857,79.38
700,1.787813,5.98,19.82,17.42,,0.00019833,85.08
750,1.902813,6.7,19.52,18.67,,0.0001981,90.68
800,1.693672,5.44,19.76,17.66,,0.00019783,96.36
850,1.876719,6.53,19.16,20.17,,0.00019756,103.62
900,1.595469,4.93,19.78,17.59,,0.00019725,109.35
950,1.682891,5.38,19.62,18.25,,0.00019695,115.1
1000,1.732734,5.66,19.46,18.92,,0.00019661,120.73
1050,1.714141,5.55,19.6,18.34,,0.00019628,128.13
1100,1.945469,7.0,19.16,20.18,,0.0001959,133.72
1150,1.462578,4.32,19.92,17.0,,0.00019554,139.45
1200,1.539375,4.66,19.72,17.83,,0.00019513,145.14
1250,1.604219,4.97,19.54,18.58,,0.00019474,152.48
1300,1.702031,5.49,19.38,19.25,,0.00019429,158.09
1350,1.518359,4.56,19.78,17.58,,0.00019387,163.83
1400,1.635312,5.13,19.06,20.58,,0.00019339,169.38
1450,1.462031,4.31,19.72,17.84,,0.00019294,176.72
1500,1.569687,4.81,19.64,18.18,,0.00019243,182.39
1550,1.623516,5.07,19.36,19.33,,0.00019194,188.0
1600,1.458633,4.3,19.88,17.17,,0.0001914,193.73
1650,1.507344,4.51,19.8,17.5,,0.00019088,201.06
1700,1.410313,4.1,19.82,17.42,,0.00019031,206.76
1750,1.471563,4.36,19.84,17.33,,0.00018976,212.46
1800,1.603906,4.97,19.6,18.34,,0.00018916,218.13
1850,1.498008,4.47,19.94,16.92,,0.00018858,225.41
1900,1.366016,3.92,19.84,17.33,,0.00018794,231.15
1950,1.420937,4.14,19.82,17.42,,0.00018734,236.85
2000,1.546484,4.69,19.46,18.91,,0.00018667,242.52
2050,1.446562,4.25,19.82,17.42,,0.00018604,249.81
2100,1.411914,4.1,19.9,17.08,,0.00018534,255.64
2150,1.501016,4.49,19.1,20.42,,0.00018468,261.28
2200,1.555625,4.74,19.4,19.16,,0.00018395,266.93
2250,1.418281,4.13,19.56,18.51,,0.00018326,274.36
2300,1.524453,4.59,19.56,18.5,,0.0001825,280.08
2350,1.438516,4.21,19.58,18.42,,0.00018179,285.79
2400,1.433984,4.2,19.74,17.75,,0.000181,291.54
2450,1.416406,4.12,19.7,17.92,,0.00018026,298.88
2500,1.438672,4.22,19.54,18.58,,0.00017944,304.53
2550,1.344062,3.83,20.16,15.99,,0.00017867,310.32
2600,1.434922,4.2,19.62,18.25,,0.00017783,316.0
2650,1.381797,3.98,19.56,18.51,,0.00017703,323.31
2700,1.390078,4.02,19.78,17.58,,0.00017616,329.28
2750,1.397578,4.05,19.82,17.42,,0.00017534,335.06
2800,1.388203,4.01,19.82,17.41,,0.00017444,340.86
2850,1.387891,4.01,19.7,17.91,,0.0001736,348.36
2900,1.330469,3.78,19.88,17.17,,0.00017267,354.15
2950,1.458047,4.3,19.72,17.83,,0.00017181,359.89
3000,1.428047,4.17,19.54,18.59,,0.00017086,365.6
