step,gate_0,gate_1,gate_2,gate_3,gate_4,gate_5,gate_6,gate_7,gate_8,gate_9,gate_10,gate_11,gate_12,gate_13,gate_14,gate_15,gate_16,gate_17,gate_18,gate_19,gate_20,gate_21,gate_22,gate_23
1300,0.7286,0.7294,0.7292,0.7291,0.7299,0.7297,0.7295,0.7294,0.2705,0.2706,0.2705,0.2705,0.2706,0.2705,0.2705,0.2705,0.2705,0.7296,0.7297,0.7297,0.7299,0.7296,0.7302,0.7301
1350,0.7283,0.7293,0.7292,0.7291,0.7297,0.7296,0.7295,0.7295,0.2706,0.2706,0.2705,0.2704,0.2704,0.2704,0.2705,0.2705,0.2705,0.7294,0.7296,0.7297,0.7298,0.7296,0.7302,0.7301
1400,0.7282,0.7293,0.7292,0.7291,0.7297,0.7296,0.7294,0.7294,0.2706,0.2706,0.2706,0.2706,0.2706,0.2706,0.2707,0.2705,0.2706,0.7295,0.7297,0.7297,0.7298,0.7296,0.7301,0.73
1450,0.7281,0.7291,0.7292,0.7291,0.7296,0.7295,0.7294,0.7294,0.2705,0.2706,0.2705,0.2705,0.2705,0.2705,0.2706,0.2705,0.2705,0.7295,0.7296,0.7297,0.7298,0.7296,0.7301,0.73
1500,0.728,0.7291,0.7291,0.729,0.7296,0.7295,0.7294,0.7293,0.2706,0.2706,0.2705,0.2705,0.2706,0.2705,0.2706,0.2705,0.2706,0.7294,0.7296,0.7297,0.7298,0.7296,0.7301,0.7299
1550,0.7279,0.7289,0.7291,0.729,0.7295,0.7295,0.7294,0.7293,0.2706,0.2706,0.2706,0.2705,0.2706,0.2706,0.2707,0.2706,0.2706,0.7295,0.7297,0.7296,0.7297,0.7296,0.7301,0.73
1600,0.7275,0.7291,0.7291,0.729,0.7295,0.7295,0.7293,0.7293,0.2706,0.2707,0.2706,0.2706,0.2706,0.2706,0.2706,0.2705,0.2705,0.7295,0.7296,0.7296,0.7298,0.7296,0.7301,0.73
1650,0.7273,0.7292,0.7291,0.729,0.7295,0.7295,0.7293,0.7293,0.2706,0.2707,0.2706,0.2706,0.2706,0.2705,0.2707,0.2705,0.2706,0.7295,0.7296,0.7296,0.7297,0.7296,0.7301,0.7299
1700,0.7272,0.7292,0.7291,0.729,0.7295,0.7295,0.7293,0.7293,0.2706,0.2707,0.2706,0.2707,0.2706,0.2706,0.2706,0.2705,0.2706,0.7294,0.7296,0.7296,0.7297,0.7296,0.7301,0.7299
1750,0.727,0.7291,0.7291,0.7289,0.7295,0.7294,0.7292,0.7293,0.2707,0.2707,0.2706,0.2706,0.2706,0.2706,0.2707,0.2706,0.2706,0.7294,0.7296,0.7296,0.7297,0.7295,0.7301,0.73
1800,0.7268,0.729,0.729,0.7289,0.7294,0.7294,0.7292,0.7292,0.2706,0.2707,0.2707,0.2706,0.2707,0.2706,0.2706,0.2706,0.2706,0.7294,0.7296,0.7296,0.7297,0.7295,0.73,0.7299
1850,0.7266,0.7289,0.729,0.7289,0.7294,0.7293,0.7292,0.7292,0.2706,0.2708,0.2706,0.2706,0.2706,0.2706,0.2707,0.2706,0.2706,0.7294,0.7296,0.7296,0.7297,0.7295,0.73,0.7299
1900,0.7265,0.7288,0.729,0.7289,0.7294,0.7293,0.7292,0.7293,0.2708,0.2707,0.2707,0.2707,0.2707,0.2706,0.2706,0.2706,0.2706,0.7293,0.7295,0.7295,0.7296,0.7295,0.73,0.7299
1950,0.7262,0.7289,0.729,0.7289,0.7294,0.7293,0.7292,0.7292,0.2707,0.2707,0.2707,0.2707,0.2707,0.2706,0.2707,0.2706,0.2707,0.7293,0.7295,0.7295,0.7296,0.7295,0.73,0.7299
2000,0.726,0.729,0.729,0.7289,0.7294,0.7294,0.7291,0.7293,0.2708,0.2708,0.2708,0.2708,0.2707,0.2707,0.2706,0.2706,0.2706,0.7294,0.7296,0.7296,0.7296,0.7294,0.73,0.7299
2050,0.7258,0.7289,0.729,0.7289,0.7294,0.7294,0.7291,0.7292,0.2707,0.2708,0.2707,0.2707,0.2707,0.2707,0.2708,0.2707,0.2707,0.7293,0.7295,0.7295,0.7296,0.7295,0.7299,0.7299
2100,0.7257,0.7289,0.7289,0.7289,0.7294,0.7293,0.7291,0.7292,0.2708,0.2708,0.2708,0.2708,0.2707,0.2707,0.2707,0.2706,0.2707,0.7293,0.7295,0.7295,0.7295,0.7295,0.7299,0.7299
2150,0.7256,0.7288,0.729,0.7288,0.7294,0.7292,0.7291,0.7292,0.2708,0.2708,0.2708,0.2708,0.2708,0.2707,0.2707,0.2707,0.2707,0.7293,0.7295,0.7296,0.7296,0.7294,0.7299,0.7299
2200,0.7254,0.7287,0.729,0.7288,0.7293,0.7293,0.7291,0.7292,0.2708,0.2709,0.2708,0.2708,0.2707,0.2708,0.2707,0.2707,0.2707,0.7293,0.7294,0.7295,0.7296,0.7294,0.7299,0.7298
2250,0.7253,0.7287,0.7289,0.7288,0.7293,0.7292,0.7291,0.7291,0.2708,0.2709,0.2708,0.2709,0.2708,0.2707,0.2707,0.2707,0.2707,0.7293,0.7295,0.7295,0.7296,0.7294,0.7299,0.7298
2300,0.7252,0.7286,0.7289,0.7287,0.7293,0.7293,0.7292,0.7292,0.2708,0.2709,0.2708,0.2708,0.2708,0.2708,0.2708,0.2707,0.2708,0.7293,0.7295,0.7295,0.7295,0.7294,0.7298,0.7298
2350,0.725,0.7285,0.7289,0.7288,0.7293,0.7292,0.7291,0.7292,0.2709,0.2709,0.2709,0.2709,0.2707,0.2708,0.2707,0.2707,0.2707,0.7292,0.7295,0.7295,0.7295,0.7294,0.7298,0.7298
2400,0.7248,0.7284,0.7289,0.7287,0.7293,0.7292,0.7291,0.7291,0.2708,0.2709,0.2709,0.2709,0.2708,0.2708,0.2708,0.2707,0.2707,0.7292,0.7294,0.7294,0.7295,0.7294,0.7298,0.7297
2450,0.7244,0.7287,0.7289,0.7287,0.7294,0.7292,0.7291,0.7291,0.2709,0.2709,0.2708,0.2708,0.2707,0.2708,0.2708,0.2707,0.2707,0.7292,0.7294,0.7294,0.7295,0.7293,0.7298,0.7297
2500,0.7242,0.7287,0.7289,0.7287,0.7293,0.7292,0.729,0.7291,0.2708,0.2709,0.271,0.2709,0.2708,0.2708,0.2707,0.2707,0.2707,0.7292,0.7295,0.7294,0.7295,0.7294,0.7298,0.7297
2550,0.7239,0.7286,0.7289,0.7287,0.7295,0.7292,0.7291,0.7291,0.271,0.271,0.2707,0.2708,0.2708,0.2709,0.2708,0.2708,0.2708,0.7293,0.7294,0.7295,0.7295,0.7293,0.7298,0.7297
2600,0.7238,0.7285,0.7289,0.7287,0.7293,0.7292,0.7291,0.7291,0.2709,0.271,0.2709,0.271,0.2708,0.2709,0.2707,0.2707,0.2708,0.7291,0.7294,0.7294,0.7294,0.7294,0.7298,0.7297
2650,0.7236,0.7285,0.7289,0.7287,0.7293,0.7291,0.729,0.7291,0.2709,0.271,0.2709,0.2709,0.2709,0.2709,0.2708,0.2708,0.2708,0.7292,0.7295,0.7294,0.7295,0.7294,0.7298,0.7297
2700,0.7235,0.7284,0.7288,0.7286,0.7292,0.7292,0.7291,0.7291,0.2709,0.271,0.2709,0.2709,0.2709,0.2709,0.2708,0.2707,0.2708,0.7291,0.7294,0.7294,0.7294,0.7293,0.7298,0.7297
2750,0.7233,0.7283,0.7288,0.7286,0.7292,0.7291,0.729,0.729,0.271,0.2711,0.2709,0.2709,0.2709,0.2709,0.2709,0.2708,0.2708,0.7291,0.7294,0.7294,0.7294,0.7293,0.7297,0.7297
2800,0.723,0.7284,0.7288,0.7286,0.7293,0.7291,0.7289,0.729,0.2709,0.271,0.2709,0.271,0.2709,0.2709,0.2709,0.2708,0.2709,0.7291,0.7294,0.7295,0.7294,0.7294,0.7297,0.7297
2850,0.7227,0.7285,0.7288,0.7286,0.7291,0.7291,0.729,0.7291,0.271,0.2711,0.271,0.2709,0.271,0.2709,0.2709,0.2708,0.2708,0.7291,0.7293,0.7294,0.7294,0.7293,0.7298,0.7297
2900,0.7225,0.7285,0.7288,0.7286,0.7291,0.729,0.7289,0.729,0.2709,0.271,0.2709,0.2709,0.2709,0.2709,0.2709,0.2708,0.2709,0.7291,0.7294,0.7294,0.7294,0.7294,0.7297,0.7296
2950,0.7224,0.7284,0.7288,0.7286,0.7292,0.729,0.729,0.729,0.271,0.2711,0.271,0.2709,0.271,0.271,0.271,0.2708,0.2708,0.7291,0.7293,0.7294,0.7294,0.7293,0.7297,0.7296
3000,0.7223,0.7283,0.7288,0.7286,0.7291,0.7291,0.7289,0.729,0.271,0.271,0.271,0.2709,0.271,0.271,0.2709,0.2708,0.2709,0.7291,0.7294,0.7294,0.7294,0.7293,0.7296,0.7296
